RoleID,Date,BanTime,ReasonEnglish
5797016637,2020-06-12 22:53:22,600,Use modifier
5624273483,2020-07-16 11:49:33,600,Use custom plug-ins
5153724926,2020-07-17 10:44:28,600,Use custom plug-ins
5797016637,2020-07-15 12:18:17,7200,Use unofficial client
5797016637,2020-07-17 03:02:43,1800,Use hosts or VPN software to intercept anti-cheat data
5912242016,2020-07-25 23:26:54,600,Bypass device detection
5797016637,2020-07-31 05:41:18,86400,Modify game program code or data in violation of regulations
5147100160,2020-08-09 22:07:17,600,Use custom plug-ins
5721618950,2020-08-13 16:34:13,600,Use custom plug-ins
5488489981,2020-08-14 15:38:23,600,Use custom plug-ins
5301041912,2020-08-21 17:45:11,600,Use hosts or VPN software to intercept anti-cheat data
5199293648,2020-08-22 12:06:54,600,Use hosts or VPN software to intercept anti-cheat data
5873754423,2020-08-22 09:51:08,600,Use hosts or VPN software to intercept anti-cheat data
5161482102,2020-08-23 03:16:55,1200,Use hosts or VPN software to intercept anti-cheat data
518449047,2020-08-22 11:41:43,1200,Use hosts or VPN software to intercept anti-cheat data
5857425761,2020-08-21 23:38:50,1200,Use hosts or VPN software to intercept anti-cheat data
5155247023,2020-08-22 03:37:28,600,Use hosts or VPN software to intercept anti-cheat data
5522894974,2020-08-22 16:36:45,600,Use hosts or VPN software to intercept anti-cheat data
5160900691,2020-08-22 23:51:28,600,Use hosts or VPN software to intercept anti-cheat data
5247457813,2020-08-21 22:31:26,600,Use hosts or VPN software to intercept anti-cheat data
5371588364,2020-08-23 00:21:13,600,Use hosts or VPN software to intercept anti-cheat data
510034778,2020-08-23 16:10:54,600,Use hosts or VPN software to intercept anti-cheat data
5129797325,2020-08-23 15:05:21,600,Use hosts or VPN software to intercept anti-cheat data
576620735,2020-08-21 17:32:49,600,Use hosts or VPN software to intercept anti-cheat data
511549934,2020-08-21 20:36:42,600,Use hosts or VPN software to intercept anti-cheat data
5391501074,2020-08-21 01:57:42,600,Use hosts or VPN software to intercept anti-cheat data
5115102602,2020-08-21 13:58:14,600,Use hosts or VPN software to intercept anti-cheat data
5469682574,2020-08-22 22:22:09,600,Use hosts or VPN software to intercept anti-cheat data
510593277,2020-08-23 14:22:11,600,Use hosts or VPN software to intercept anti-cheat data
5505844316,2020-08-22 23:48:44,600,Use hosts or VPN software to intercept anti-cheat data
530015821,2020-08-21 21:49:40,600,Use hosts or VPN software to intercept anti-cheat data
5379677696,2020-08-21 21:15:13,600,Use hosts or VPN software to intercept anti-cheat data
5912242016,2020-08-22 21:50:43,600,Use custom plug-ins
5797016637,2020-08-21 12:55:58,600,Use custom plug-ins
5186964951,2020-08-23 15:55:04,600,Use hosts or VPN software to intercept anti-cheat data
5721618950,2020-08-17 19:24:43,600,Modify game program code or data in violation of regulations
5147100160,2020-08-21 22:40:22,600,Modify game program code or data in violation of regulations
5147100160,2020-08-22 01:57:44,600,Use modifier
5147100160,2020-08-21 22:30:57,600,Bypass device detection
5525516135,2020-08-23 17:46:50,600,Use hosts or VPN software to intercept anti-cheat data
555764631,2020-08-23 22:55:04,600,Use hosts or VPN software to intercept anti-cheat data
5410907367,2020-08-22 14:41:06,600,Use hosts or VPN software to intercept anti-cheat data
5153724926,2020-08-30 21:20:00,600,Modify game program code or data in violation of regulations
511518557,2020-08-24 23:01:56,600,Use hosts or VPN software to intercept anti-cheat data
5890519379,2020-08-24 15:01:06,1200,Use hosts or VPN software to intercept anti-cheat data
5408724595,2020-08-27 21:07:19,600,Use hosts or VPN software to intercept anti-cheat data
5301794594,2020-08-30 15:06:48,600,Use hosts or VPN software to intercept anti-cheat data
5369280083,2020-08-28 23:29:36,600,Use hosts or VPN software to intercept anti-cheat data
5570220306,2020-08-30 00:45:48,600,Use hosts or VPN software to intercept anti-cheat data
541386661,2020-08-25 00:59:09,600,Use hosts or VPN software to intercept anti-cheat data
5141873421,2020-08-25 23:06:50,600,Use hosts or VPN software to intercept anti-cheat data
5721618950,2020-08-29 17:12:37,600,Use modifier
5515419972,2020-08-24 02:58:12,600,Use hosts or VPN software to intercept anti-cheat data
5204856452,2020-08-26 01:35:45,1800,Use hosts or VPN software to intercept anti-cheat data
5598104037,2020-08-27 22:37:14,1200,Use hosts or VPN software to intercept anti-cheat data
5451634841,2020-08-30 11:37:21,600,Use hosts or VPN software to intercept anti-cheat data
5143322221,2020-09-05 22:14:19,600,Use hosts or VPN software to intercept anti-cheat data
567049381,2020-09-06 19:19:24,600,Use hosts or VPN software to intercept anti-cheat data
525115876,2020-09-06 21:57:52,600,Use modifier
5153724926,2020-09-01 11:11:05,600,Use modifier
525115876,2020-09-06 06:56:46,600,Modify game program code or data in violation of regulations
591782123,2020-09-03 09:24:26,600,Use hosts or VPN software to intercept anti-cheat data
590442757,2020-09-05 21:45:57,600,Use hosts or VPN software to intercept anti-cheat data
5163311664,2020-09-06 20:22:53,600,Use hosts or VPN software to intercept anti-cheat data
